datetime,season,holiday,workingday,casual,registered,count
2011/1/4 10:00,1,0,1,5,37,42
2011/1/4 11:00,1,0,1,7,50,57
2011/1/4 12:00,1,0,1,12,66,78
2011/1/4 13:00,1,0,1,18,79,97
2011/1/4 14:00,1,0,1,9,54,63
2011/1/4 15:00,1,0,1,17,48,65
2011/1/4 16:00,1,0,1,15,68,83
2011/1/4 17:00,1,0,1,10,202,212
2011/1/4 18:00,1,0,1,3,179,182
2011/1/4 19:00,1,0,1,2,110,112
2011/1/4 20:00,1,0,1,1,53,54
2011/1/4 21:00,1,0,1,0,48,48
2011/1/4 22:00,1,0,1,1,34,35
2011/1/4 23:00,1,0,1,2,9,11
2011/1/5 0:00,1,0,1,0,6,6
2011/1/5 1:00,1,0,1,0,6,6
2011/1/5 2:00,1,0,1,0,2,2
2011/1/5 4:00,1,0,1,0,2,2
2011/1/5 5:00,1,0,1,0,3,3
2011/1/5 6:00,1,0,1,0,33,33
2011/1/5 7:00,1,0,1,1,87,88
2011/1/5 8:00,1,0,1,3,192,195
2011/1/5 9:00,1,0,1,6,109,115
2011/1/5 10:00,1,0,1,4,53,57
2011/1/5 11:00,1,0,1,12,34,46
2011/1/5 12:00,1,0,1,5,74,79
2011/1/5 13:00,1,0,1,6,65,71
2011/1/5 14:00,1,0,1,10,52,62
2011/1/5 15:00,1,0,1,7,55,62
2011/1/5 16:00,1,0,1,4,85,89
2011/1/5 17:00,1,0,1,4,186,190
2011/1/5 18:00,1,0,1,3,166,169
2011/1/5 19:00,1,0,1,5,127,132
2011/1/5 20:00,1,0,1,7,82,89
2011/1/5 21:00,1,0,1,3,40,43
2011/1/5 22:00,1,0,1,1,41,42
2011/1/5 23:00,1,0,1,1,18,19
2011/1/6 0:00,1,0,1,0,11,11
2011/1/6 1:00,1,0,1,0,4,4
2011/1/6 2:00,1,0,1,0,2,2
2011/1/6 4:00,1,0,1,0,1,1
2011/1/6 5:00,1,0,1,0,4,4
2011/1/6 6:00,1,0,1,0,36,36
2011/1/6 7:00,1,0,1,0,95,95
2011/1/6 8:00,1,0,1,3,216,219
2011/1/6 9:00,1,0,1,6,116,122
2011/1/6 10:00,1,0,1,3,42,45
2011/1/6 11:00,1,0,1,2,57,59
2011/1/6 12:00,1,0,1,6,78,84
2011/1/6 13:00,1,0,1,12,55,67
2011/1/6 14:00,1,0,1,11,59,70
2011/1/6 15:00,1,0,1,8,54,62
2011/1/6 16:00,1,0,1,12,74,86
2011/1/6 17:00,1,0,1,9,163,172
2011/1/6 18:00,1,0,1,5,158,163
2011/1/6 19:00,1,0,1,3,109,112
2011/1/6 20:00,1,0,1,3,66,69
2011/1/6 21:00,1,0,1,0,48,48
2011/1/6 22:00,1,0,1,1,51,52
2011/1/6 23:00,1,0,1,4,19,23
2011/1/7 0:00,1,0,1,4,13,17
2011/1/7 1:00,1,0,1,2,5,7
2011/1/7 2:00,1,0,1,0,1,1
2011/1/7 4:00,1,0,1,0,1,1
2011/1/7 5:00,1,0,1,0,5,5
2011/1/7 6:00,1,0,1,8,26,34
2011/1/7 7:00,1,0,1,8,76,84
2011/1/7 8:00,1,0,1,20,190,210
2011/1/7 9:00,1,0,1,9,125,134
2011/1/7 10:00,1,0,1,16,47,63
2011/1/7 11:00,1,0,1,19,48,67
2011/1/7 12:00,1,0,1,9,50,59
2011/1/7 13:00,1,0,1,9,64,73
2011/1/7 14:00,1,0,1,7,43,50
2011/1/7 15:00,1,0,1,9,63,72
2011/1/7 16:00,1,0,1,5,82,87
2011/1/7 17:00,1,0,1,9,178,187
2011/1/7 18:00,1,0,1,7,116,123
2011/1/7 19:00,1,0,1,3,92,95
2011/1/7 20:00,1,0,1,1,50,51
2011/1/7 21:00,1,0,1,0,39,39
2011/1/7 22:00,1,0,1,2,34,36
2011/1/7 23:00,1,0,1,1,14,15
2011/1/8 0:00,1,0,0,1,24,25
2011/1/8 1:00,1,0,0,1,15,16
2011/1/8 2:00,1,0,0,3,13,16
2011/1/8 3:00,1,0,0,0,7,7
2011/1/8 4:00,1,0,0,0,1,1
2011/1/8 5:00,1,0,0,0,5,5
2011/1/8 6:00,1,0,0,0,2,2
2011/1/8 7:00,1,0,0,1,8,9
2011/1/8 8:00,1,0,0,0,15,15
2011/1/8 9:00,1,0,0,0,20,20
2011/1/8 10:00,1,0,0,5,56,61
2011/1/8 11:00,1,0,0,2,60,62
2011/1/8 12:00,1,0,0,8,90,98
2011/1/8 13:00,1,0,0,7,95,102
2011/1/8 14:00,1,0,0,12,83,95
2011/1/8 15:00,1,0,0,5,69,74
2011/1/8 16:00,1,0,0,8,68,76
2011/1/8 17:00,1,0,0,5,64,69
2011/1/8 18:00,1,0,0,3,52,55
2011/1/8 19:00,1,0,0,4,26,30
2011/1/8 20:00,1,0,0,0,28,28
2011/1/8 21:00,1,0,0,2,35,37
2011/1/8 22:00,1,0,0,1,33,34
2011/1/8 23:00,1,0,0,0,22,22
2011/1/9 0:00,1,0,0,1,24,25
2011/1/9 1:00,1,0,0,0,12,12
2011/1/9 2:00,1,0,0,0,11,11
2011/1/9 3:00,1,0,0,0,4,4
2011/1/9 4:00,1,0,0,0,1,1
2011/1/9 5:00,1,0,0,0,1,1
2011/1/9 6:00,1,0,0,0,1,1
2011/1/9 7:00,1,0,0,1,5,6
2011/1/9 8:00,1,0,0,0,10,10
2011/1/9 9:00,1,0,0,0,19,19
2011/1/9 10:00,1,0,0,0,49,49
2011/1/9 11:00,1,0,0,2,47,49
2011/1/9 12:00,1,0,0,4,79,83
2011/1/9 13:00,1,0,0,6,69,75
2011/1/9 14:00,1,0,0,8,64,72
2011/1/9 15:00,1,0,0,5,77,82
2011/1/9 16:00,1,0,0,13,79,92
2011/1/9 17:00,1,0,0,3,59,62
2011/1/9 18:00,1,0,0,4,44,48
2011/1/9 19:00,1,0,0,1,40,41
2011/1/9 20:00,1,0,0,0,38,38
2011/1/9 21:00,1,0,0,1,19,20
2011/1/9 22:00,1,0,0,5,10,15
2011/1/9 23:00,1,0,0,0,6,6
2011/1/10 0:00,1,0,1,2,3,5
2011/1/10 1:00,1,0,1,1,0,1
2011/1/10 2:00,1,0,1,0,3,3
2011/1/10 3:00,1,0,1,0,1,1
2011/1/10 4:00,1,0,1,1,2,3
2011/1/10 5:00,1,0,1,0,3,3
2011/1/10 6:00,1,0,1,0,31,31
2011/1/10 7:00,1,0,1,2,75,77
2011/1/10 8:00,1,0,1,4,184,188
2011/1/10 9:00,1,0,1,2,92,94
2011/1/10 10:00,1,0,1,0,31,31
2011/1/10 11:00,1,0,1,2,28,30
2011/1/10 12:00,1,0,1,5,47,52
2011/1/10 13:00,1,0,1,4,50,54
2011/1/10 14:00,1,0,1,0,47,47
2011/1/10 15:00,1,0,1,2,43,45
2011/1/10 16:00,1,0,1,4,70,74
2011/1/10 17:00,1,0,1,4,174,178
2011/1/10 18:00,1,0,1,1,154,155
2011/1/10 19:00,1,0,1,3,92,95
2011/1/10 20:00,1,0,1,1,73,74
2011/1/10 21:00,1,0,1,1,37,38
2011/1/10 22:00,1,0,1,2,22,24
2011/1/10 23:00,1,0,1,0,18,18
2011/1/11 0:00,1,0,1,2,10,12
2011/1/11 1:00,1,0,1,0,3,3
2011/1/11 2:00,1,0,1,0,3,3
2011/1/11 5:00,1,0,1,0,6,6
2011/1/11 6:00,1,0,1,0,27,27
2011/1/11 7:00,1,0,1,2,97,99
2011/1/11 8:00,1,0,1,3,214,217
2011/1/11 9:00,1,0,1,3,127,130
2011/1/11 10:00,1,0,1,3,51,54
2011/1/11 11:00,1,0,1,4,31,35
2011/1/11 12:00,1,0,1,2,55,57
2011/1/11 13:00,1,0,1,6,46,52
2011/1/11 14:00,1,0,1,3,60,63
2011/1/11 15:00,1,0,1,2,45,47
2011/1/11 16:00,1,0,1,4,72,76
2011/1/11 17:00,1,0,1,6,130,136
2011/1/11 18:00,1,0,1,1,94,95
2011/1/11 19:00,1,0,1,0,51,51
2011/1/11 20:00,1,0,1,0,32,32
2011/1/11 21:00,1,0,1,0,20,20
2011/1/11 22:00,1,0,1,1,28,29
2011/1/11 23:00,1,0,1,1,18,19
2011/1/12 0:00,1,0,1,0,7,7
2011/1/12 1:00,1,0,1,0,6,6
2011/1/12 2:00,1,0,1,0,1,1
2011/1/12 5:00,1,0,1,0,5,5
2011/1/12 6:00,1,0,1,0,16,16
2011/1/12 7:00,1,0,1,0,54,54
2011/1/12 8:00,1,0,1,3,125,128
2011/1/12 9:00,1,0,1,3,78,81
2011/1/12 10:00,1,0,1,0,39,39
2011/1/12 11:00,1,0,1,3,32,35
2011/1/12 12:00,1,0,1,3,52,55
2011/1/12 13:00,1,0,1,0,49,49
2011/1/12 14:00,1,0,1,0,44,44
2011/1/12 15:00,1,0,1,1,48,49
2011/1/12 16:00,1,0,1,5,63,68
2011/1/12 17:00,1,0,1,0,139,139
2011/1/12 18:00,1,0,1,2,135,137
2011/1/12 19:00,1,0,1,1,82,83
2011/1/12 20:00,1,0,1,2,54,56
2011/1/12 21:00,1,0,1,0,57,57
2011/1/12 22:00,1,0,1,1,32,33
2011/1/12 23:00,1,0,1,1,19,20
2011/1/13 0:00,1,0,1,1,6,7
2011/1/13 1:00,1,0,1,0,2,2
2011/1/13 2:00,1,0,1,0,2,2
2011/1/13 3:00,1,0,1,0,3,3
2011/1/13 4:00,1,0,1,0,4,4
2011/1/13 5:00,1,0,1,0,3,3
2011/1/13 6:00,1,0,1,0,28,28
2011/1/13 7:00,1,0,1,0,72,72
2011/1/13 8:00,1,0,1,5,197,202
2011/1/13 9:00,1,0,1,2,137,139
2011/1/13 10:00,1,0,1,2,36,38
2011/1/13 11:00,1,0,1,4,33,37
2011/1/13 12:00,1,0,1,3,49,52
2011/1/13 13:00,1,0,1,2,81,83
2011/1/13 14:00,1,0,1,3,39,42
2011/1/13 15:00,1,0,1,5,55,60
2011/1/13 16:00,1,0,1,2,76,78
2011/1/13 17:00,1,0,1,4,158,162
2011/1/13 18:00,1,0,1,3,141,144
2011/1/13 19:00,1,0,1,1,98,99
2011/1/13 20:00,1,0,1,0,64,64
2011/1/13 21:00,1,0,1,0,40,40
2011/1/13 22:00,1,0,1,0,30,30
2011/1/13 23:00,1,0,1,1,14,15
2011/1/14 0:00,1,0,1,0,14,14
2011/1/14 1:00,1,0,1,0,5,5
2011/1/14 2:00,1,0,1,0,1,1
2011/1/14 3:00,1,0,1,0,1,1
2011/1/14 5:00,1,0,1,0,8,8
2011/1/14 6:00,1,0,1,0,17,17
2011/1/14 7:00,1,0,1,0,70,70
2011/1/14 8:00,1,0,1,2,156,158
2011/1/14 9:00,1,0,1,0,117,117
2011/1/14 10:00,1,0,1,4,40,44
2011/1/14 11:00,1,0,1,6,47,53
2011/1/14 12:00,1,0,1,2,59,61
2011/1/14 13:00,1,0,1,4,73,77
2011/1/14 14:00,1,0,1,5,59,64
2011/1/14 15:00,1,0,1,9,59,68
2011/1/14 16:00,1,0,1,3,87,90
2011/1/14 17:00,1,0,1,4,155,159
2011/1/14 18:00,1,0,1,5,134,139
2011/1/14 19:00,1,0,1,3,89,92
2011/1/14 20:00,1,0,1,0,68,68
2011/1/14 21:00,1,0,1,4,48,52
2011/1/14 22:00,1,0,1,2,34,36
2011/1/14 23:00,1,0,1,1,26,27
2011/1/15 0:00,1,0,0,3,25,28
2011/1/15 1:00,1,0,0,2,18,20
2011/1/15 2:00,1,0,0,0,12,12
2011/1/15 3:00,1,0,0,1,7,8
2011/1/15 4:00,1,0,0,0,5,5
2011/1/15 5:00,1,0,0,0,1,1
2011/1/15 6:00,1,0,0,1,2,3
2011/1/15 7:00,1,0,0,1,9,10
2011/1/15 8:00,1,0,0,1,22,23
2011/1/15 9:00,1,0,0,2,31,33
2011/1/15 10:00,1,0,0,2,57,59
2011/1/15 11:00,1,0,0,18,54,72
2011/1/15 12:00,1,0,0,15,74,89
2011/1/15 13:00,1,0,0,21,80,101
2011/1/15 14:00,1,0,0,26,92,118
2011/1/15 15:00,1,0,0,21,108,129
2011/1/15 16:00,1,0,0,33,95,128
2011/1/15 17:00,1,0,0,29,54,83
2011/1/15 18:00,1,0,0,15,69,84
2011/1/15 19:00,1,0,0,14,60,74
2011/1/15 20:00,1,0,0,6,35,41
2011/1/15 21:00,1,0,0,6,51,57
2011/1/15 22:00,1,0,0,0,26,26
2011/1/15 23:00,1,0,0,5,39,44
2011/1/16 0:00,1,0,0,6,33,39
2011/1/16 1:00,1,0,0,4,19,23
2011/1/16 2:00,1,0,0,3,13,16
2011/1/16 3:00,1,0,0,9,6,15
2011/1/16 4:00,1,0,0,0,1,1
2011/1/16 5:00,1,0,0,1,1,2
2011/1/16 6:00,1,0,0,0,1,1
2011/1/16 7:00,1,0,0,0,3,3
2011/1/16 8:00,1,0,0,0,18,18
2011/1/16 9:00,1,0,0,3,29,32
2011/1/16 10:00,1,0,0,8,71,79
2011/1/16 11:00,1,0,0,23,70,93
2011/1/16 12:00,1,0,0,29,75,104
2011/1/16 13:00,1,0,0,23,95,118
2011/1/16 14:00,1,0,0,22,69,91
2011/1/16 15:00,1,0,0,35,78,113
2011/1/16 16:00,1,0,0,22,77,99
2011/1/16 17:00,1,0,0,23,82,105
2011/1/16 18:00,1,0,0,11,56,67
2011/1/16 19:00,1,0,0,14,47,61
2011/1/16 20:00,1,0,0,7,50,57
2011/1/16 21:00,1,0,0,6,22,28
2011/1/16 22:00,1,0,0,2,19,21
2011/1/16 23:00,1,0,0,0,18,18
2011/1/17 0:00,1,1,0,1,16,17
2011/1/17 1:00,1,1,0,1,15,16
2011/1/17 2:00,1,1,0,0,8,8
2011/1/17 3:00,1,1,0,0,2,2
2011/1/17 4:00,1,1,0,1,2,3
2011/1/17 5:00,1,1,0,0,1,1
2011/1/17 6:00,1,1,0,0,5,5
2011/1/17 7:00,1,1,0,4,9,13
2011/1/17 8:00,1,1,0,3,30,33
2011/1/17 9:00,1,1,0,8,39,47
2011/1/17 10:00,1,1,0,7,50,57
2011/1/17 11:00,1,1,0,9,55,64
2011/1/17 12:00,1,1,0,10,70,80
2011/1/17 13:00,1,1,0,13,80,93
2011/1/17 14:00,1,1,0,12,74,86
2011/1/17 15:00,1,1,0,21,72,93
2011/1/17 16:00,1,1,0,6,76,82
2011/1/17 17:00,1,1,0,4,67,71
2011/1/17 18:00,1,1,0,7,85,92
2011/1/17 19:00,1,1,0,2,58,60
2011/1/17 20:00,1,1,0,4,29,33
2011/1/17 21:00,1,1,0,3,24,27
2011/1/17 22:00,1,1,0,0,13,13
2011/1/17 23:00,1,1,0,1,3,4
2011/1/18 12:00,1,0,1,0,3,3
2011/1/18 13:00,1,0,1,0,22,22
2011/1/18 14:00,1,0,1,2,26,28
2011/1/18 15:00,1,0,1,3,32,35
2011/1/18 16:00,1,0,1,0,61,61
2011/1/18 17:00,1,0,1,1,124,125
2011/1/18 18:00,1,0,1,1,132,133
2011/1/18 19:00,1,0,1,1,98,99
2011/1/18 20:00,1,0,1,0,83,83
2011/1/18 21:00,1,0,1,0,41,41
2011/1/18 22:00,1,0,1,0,33,33
2011/1/18 23:00,1,0,1,1,19,20
2011/1/19 0:00,1,0,1,0,3,3
2011/1/19 1:00,1,0,1,1,6,7
2011/1/19 2:00,1,0,1,0,3,3
2011/1/19 4:00,1,0,1,1,1,2
2011/1/19 5:00,1,0,1,0,7,7
2011/1/19 6:00,1,0,1,0,32,32
2011/1/19 7:00,1,0,1,1,89,90
2011/1/19 8:00,1,0,1,1,196,197
2011/1/19 9:00,1,0,1,2,107,109
2011/1/19 10:00,1,0,1,1,46,47
2011/1/19 11:00,1,0,1,5,47,52
2011/1/19 12:00,1,0,1,5,65,70
2011/1/19 13:00,1,0,1,11,67,78
2011/1/19 14:00,1,0,1,7,68,75
2011/1/19 15:00,1,0,1,4,78,82
2011/1/19 16:00,1,0,1,10,94,104
2011/1/19 17:00,1,0,1,7,190,197
2011/1/19 18:00,1,0,1,5,156,161
2011/1/19 19:00,1,0,1,4,108,112
2011/1/19 20:00,1,0,1,2,74,76
2011/1/19 21:00,1,0,1,4,55,59
2011/1/19 22:00,1,0,1,6,53,59
2011/1/19 23:00,1,0,1,1,27,28
2011/2/1 0:00,1,0,1,2,6,8
2011/2/1 1:00,1,0,1,0,3,3
2011/2/1 2:00,1,0,1,0,2,2
2011/2/1 3:00,1,0,1,0,2,2
2011/2/1 5:00,1,0,1,0,3,3
2011/2/1 6:00,1,0,1,0,22,22
2011/2/1 7:00,1,0,1,0,52,52
2011/2/1 8:00,1,0,1,3,132,135
2011/2/1 9:00,1,0,1,2,114,116
2011/2/1 10:00,1,0,1,0,47,47
2011/2/1 11:00,1,0,1,2,49,51
2011/2/1 12:00,1,0,1,2,53,55
2011/2/1 13:00,1,0,1,3,49,52
2011/2/1 14:00,1,0,1,5,49,54
2011/2/1 15:00,1,0,1,7,45,52
2011/2/1 16:00,1,0,1,3,61,64
2011/2/1 17:00,1,0,1,4,172,176
2011/2/1 18:00,1,0,1,3,165,168
2011/2/1 19:00,1,0,1,3,105,108
2011/2/1 20:00,1,0,1,5,69,74
2011/2/1 21:00,1,0,1,0,64,64
2011/2/1 22:00,1,0,1,2,34,36
2011/2/1 23:00,1,0,1,1,15,16
2011/2/2 0:00,1,0,1,0,2,2
2011/2/2 1:00,1,0,1,0,3,3
2011/2/2 2:00,1,0,1,4,0,4
2011/2/2 3:00,1,0,1,0,1,1
2011/2/2 4:00,1,0,1,0,1,1
2011/2/2 5:00,1,0,1,0,3,3
2011/2/2 6:00,1,0,1,1,17,18
2011/2/2 7:00,1,0,1,1,48,49
2011/2/2 8:00,1,0,1,1,154,155
2011/2/2 9:00,1,0,1,4,119,123
2011/2/2 10:00,1,0,1,2,59,61
2011/2/2 11:00,1,0,1,5,47,52
2011/2/2 12:00,1,0,1,3,61,64
2011/2/2 13:00,1,0,1,1,74,75
2011/2/2 14:00,1,0,1,2,61,63
2011/2/2 15:00,1,0,1,10,66,76
2011/2/2 16:00,1,0,1,8,95,103
2011/2/2 17:00,1,0,1,7,183,190
2011/2/2 18:00,1,0,1,7,175,182
2011/2/2 19:00,1,0,1,3,88,91
2011/2/2 20:00,1,0,1,4,71,75
2011/2/2 21:00,1,0,1,1,62,63
2011/2/2 22:00,1,0,1,5,35,40
2011/2/2 23:00,1,0,1,3,29,32
2011/2/3 0:00,1,0,1,1,11,12
2011/2/3 1:00,1,0,1,0,5,5
2011/2/3 2:00,1,0,1,0,2,2
2011/2/3 3:00,1,0,1,0,1,1
2011/2/3 5:00,1,0,1,0,2,2
2011/2/3 6:00,1,0,1,0,39,39
2011/2/3 7:00,1,0,1,1,86,87
2011/2/3 8:00,1,0,1,4,184,188
2011/2/3 9:00,1,0,1,6,127,133
2011/2/3 10:00,1,0,1,2,50,52
2011/2/3 11:00,1,0,1,9,55,64
2011/2/3 12:00,1,0,1,2,67,69
2011/2/3 13:00,1,0,1,4,47,51
2011/2/3 14:00,1,0,1,4,43,47
2011/2/3 15:00,1,0,1,4,56,60
2011/2/3 16:00,1,0,1,5,73,78
2011/2/3 17:00,1,0,1,5,170,175
2011/2/3 18:00,1,0,1,2,145,147
2011/2/3 19:00,1,0,1,4,92,96
2011/2/3 20:00,1,0,1,1,108,109
2011/2/3 21:00,1,0,1,1,53,54
2011/2/3 22:00,1,0,1,2,39,41
2011/2/3 23:00,1,0,1,4,34,38
2011/2/4 0:00,1,0,1,3,10,13
2011/2/4 1:00,1,0,1,0,7,7
2011/2/4 2:00,1,0,1,0,1,1
2011/2/4 3:00,1,0,1,0,1,1
2011/2/4 5:00,1,0,1,0,7,7
2011/2/4 6:00,1,0,1,2,26,28
2011/2/4 7:00,1,0,1,0,87,87
2011/2/4 8:00,1,0,1,3,217,220
2011/2/4 9:00,1,0,1,3,124,127
2011/2/4 10:00,1,0,1,5,46,51
2011/2/4 11:00,1,0,1,3,61,64
2011/2/4 12:00,1,0,1,8,78,86
2011/2/4 13:00,1,0,1,9,73,82
2011/2/4 14:00,1,0,1,15,76,91
2011/2/4 15:00,1,0,1,9,81,90
2011/2/4 16:00,1,0,1,8,91,99
2011/2/4 17:00,1,0,1,10,195,205
2011/2/4 18:00,1,0,1,3,152,155
2011/2/4 19:00,1,0,1,1,102,103
2011/2/4 20:00,1,0,1,2,69,71
2011/2/4 21:00,1,0,1,2,41,43
2011/2/4 22:00,1,0,1,1,45,46
2011/2/4 23:00,1,0,1,1,30,31
2011/2/5 0:00,1,0,0,3,36,39
2011/2/5 1:00,1,0,0,1,17,18
2011/2/5 2:00,1,0,0,5,12,17
2011/2/5 3:00,1,0,0,1,10,11
2011/2/5 4:00,1,0,0,0,8,8
2011/2/5 5:00,1,0,0,0,9,9
2011/2/5 6:00,1,0,0,0,4,4
2011/2/5 7:00,1,0,0,0,4,4
2011/2/5 8:00,1,0,0,0,10,10
2011/2/5 9:00,1,0,0,3,17,20
2011/2/5 10:00,1,0,0,3,31,34
2011/2/5 11:00,1,0,0,1,46,47
2011/2/5 12:00,1,0,0,10,42,52
2011/2/5 13:00,1,0,0,10,62,72
2011/2/5 14:00,1,0,0,5,50,55
2011/2/5 15:00,1,0,0,11,49,60
2011/2/5 16:00,1,0,0,8,63,71
2011/2/5 17:00,1,0,0,14,64,78
2011/2/5 18:00,1,0,0,2,81,83
2011/2/5 19:00,1,0,0,6,78,84
2011/2/5 20:00,1,0,0,5,64,69
2011/2/5 21:00,1,0,0,3,53,56
2011/2/5 22:00,1,0,0,2,43,45
2011/2/5 23:00,1,0,0,7,52,59
2011/2/6 0:00,1,0,0,2,37,39
2011/2/6 1:00,1,0,0,4,40,44
2011/2/6 2:00,1,0,0,0,20,20
2011/2/6 3:00,1,0,0,3,10,13
2011/2/6 4:00,1,0,0,0,2,2
2011/2/6 5:00,1,0,0,0,1,1
2011/2/6 6:00,1,0,0,0,1,1
2011/2/6 7:00,1,0,0,0,8,8
2011/2/6 8:00,1,0,0,2,21,23
2011/2/6 9:00,1,0,0,7,38,45
2011/2/6 10:00,1,0,0,15,74,89
2011/2/6 11:00,1,0,0,28,89,117
2011/2/6 12:00,1,0,0,48,126,174
2011/2/6 13:00,1,0,0,47,135,182
2011/2/6 14:00,1,0,0,47,114,161
2011/2/6 15:00,1,0,0,52,130,182
2011/2/6 16:00,1,0,0,42,115,157
2011/2/6 17:00,1,0,0,24,97,121
2011/2/6 18:00,1,0,0,13,65,78
2011/2/6 19:00,1,0,0,1,20,21
2011/2/6 20:00,1,0,0,5,21,26
2011/2/6 21:00,1,0,0,5,22,27
2011/2/6 22:00,1,0,0,5,57,62
2011/2/6 23:00,1,0,0,4,26,30
2011/2/7 0:00,1,0,1,1,14,15
2011/2/7 1:00,1,0,1,1,4,5
2011/2/7 2:00,1,0,1,0,3,3
2011/2/7 3:00,1,0,1,0,1,1
2011/2/7 4:00,1,0,1,1,1,2
2011/2/7 5:00,1,0,1,1,9,10
2011/2/7 6:00,1,0,1,1,29,30
2011/2/7 7:00,1,0,1,6,89,95
2011/2/7 8:00,1,0,1,7,223,230
2011/2/7 9:00,1,0,1,3,115,118
2011/2/7 10:00,1,0,1,6,49,55
2011/2/7 11:00,1,0,1,11,36,47
2011/2/7 12:00,1,0,1,7,59,66
2011/2/7 13:00,1,0,1,10,54,64
2011/2/7 14:00,1,0,1,8,52,60
2011/2/7 15:00,1,0,1,4,46,50
2011/2/7 16:00,1,0,1,16,98,114
2011/2/7 17:00,1,0,1,9,207,216
2011/2/7 18:00,1,0,1,5,170,175
2011/2/7 19:00,1,0,1,5,123,128
2011/2/7 20:00,1,0,1,6,82,88
2011/2/7 21:00,1,0,1,3,75,78
2011/2/7 22:00,1,0,1,3,34,37
2011/2/7 23:00,1,0,1,6,19,25
2011/2/8 0:00,1,0,1,4,6,10
2011/2/8 1:00,1,0,1,0,4,4
2011/2/8 2:00,1,0,1,1,1,2
2011/2/8 3:00,1,0,1,0,1,1
2011/2/8 4:00,1,0,1,0,3,3
2011/2/8 5:00,1,0,1,0,2,2
2011/2/8 6:00,1,0,1,0,39,39
2011/2/8 7:00,1,0,1,3,97,100
2011/2/8 8:00,1,0,1,7,236,243
2011/2/8 9:00,1,0,1,7,128,135
